date,hour,zone,usage_kwh,capacity_kwh,usage_percent,essential_load_percent,solar_generation_kwh,battery_backup_kwh,grid_available
2025-12-02,14,Zone A,4137.96,7168,57.73,64,672.95,1900,True
2025-12-02,15,Zone A,3998.95,7168,55.79,64,588.77,1275,True
2025-12-02,16,Zone A,3703.18,7168,51.66,64,356.07,1287,True
2025-12-02,17,Zone A,5781.57,7168,80.66,64,305.6,1233,True
2025-12-02,18,Zone A,6951.53,7168,96.98,64,0.0,1328,True
2025-12-02,19,Zone A,7630.21,7168,106.45,64,0.0,1091,True
2025-12-02,20,Zone A,7329.32,7168,102.25,64,0.0,1416,True
2025-12-02,21,Zone A,5793.68,7168,80.83,64,0.0,1840,True
2025-12-02,22,Zone A,3893.76,7168,54.32,64,0.0,1318,False
2025-12-02,23,Zone A,4041.62,7168,56.38,64,0.0,1536,False
2025-12-03,0,Zone A,1755.79,7168,24.49,64,0.0,1852,True
2025-12-03,1,Zone A,2469.4,7168,34.45,64,0.0,1467,True
2025-12-03,2,Zone A,2658.53,7168,37.09,64,0.0,1280,True
2025-12-03,3,Zone A,2522.12,7168,35.19,64,0.0,1650,True
2025-12-03,4,Zone A,2331.98,7168,32.53,64,0.0,1500,False
2025-12-03,5,Zone A,2284.45,7168,31.87,64,0.0,1485,False
2025-12-03,6,Zone A,4000.14,7168,55.81,64,0.0,1264,True
2025-12-03,7,Zone A,3782.31,7168,52.77,64,158.92,1585,True
2025-12-03,8,Zone A,7894.72,7168,110.14,64,487.19,1275,True
2025-12-03,9,Zone A,7427.41,7168,103.62,64,832.26,1698,True
2025-12-03,10,Zone A,5137.56,7168,71.67,64,538.01,1820,True
2025-12-03,11,Zone A,5165.55,7168,72.06,64,1120.57,1729,True
2025-12-03,12,Zone A,3900.79,7168,54.42,64,744.1,1258,True
2025-12-03,13,Zone A,4058.53,7168,56.62,64,1040.32,1406,False
2025-12-03,14,Zone A,3666.76,7168,51.15,64,834.54,1863,True
2025-12-03,15,Zone A,4110.66,7168,57.35,64,493.47,1700,True
2025-12-03,16,Zone A,3935.79,7168,54.91,64,346.77,1332,True
2025-12-03,17,Zone A,5252.13,7168,73.27,64,291.08,1305,True
2025-12-03,18,Zone A,6690.33,7168,93.34,64,0.0,1824,False
2025-12-03,19,Zone A,6845.39,7168,95.5,64,0.0,1143,True
2025-12-03,20,Zone A,7789.0,7168,108.66,64,0.0,1265,True
2025-12-03,21,Zone A,5396.42,7168,75.28,64,0.0,1597,False
2025-12-03,22,Zone A,4232.3,7168,59.04,64,0.0,1730,True
2025-12-03,23,Zone A,4241.81,7168,59.18,64,0.0,1487,True
2025-12-04,0,Zone A,2315.85,7168,32.31,64,0.0,1860,False
2025-12-04,1,Zone A,1868.96,7168,26.07,64,0.0,1131,True
2025-12-04,2,Zone A,2447.41,7168,34.14,64,0.0,1934,True
2025-12-04,3,Zone A,2736.15,7168,38.17,64,0.0,1670,True
2025-12-04,4,Zone A,1929.14,7168,26.91,64,0.0,1892,True
2025-12-04,5,Zone A,2244.59,7168,31.31,64,0.0,1380,True
2025-12-04,6,Zone A,4079.16,7168,56.91,64,0.0,1054,False
2025-12-04,7,Zone A,4138.64,7168,57.74,64,214.96,1199,False
2025-12-04,8,Zone A,6580.34,7168,91.8,64,435.44,1423,True
2025-12-04,9,Zone A,7532.04,7168,105.08,64,844.74,1350,True
2025-12-04,10,Zone A,6019.29,7168,83.97,64,1031.14,1146,True
2025-12-04,11,Zone A,5498.78,7168,76.71,64,537.6,1340,True
2025-12-04,12,Zone A,3680.81,7168,51.35,64,816.44,1214,True
2025-12-04,13,Zone A,3946.15,7168,55.05,64,1013.88,1798,True
2025-12-04,14,Zone A,3662.29,7168,51.09,64,693.33,1439,True
2025-12-04,15,Zone A,3732.52,7168,52.07,64,452.26,1382,True
2025-12-04,16,Zone A,4479.76,7168,62.5,64,435.86,1018,True
2025-12-04,17,Zone A,5332.51,7168,74.39,64,255.06,1352,True
2025-12-04,18,Zone A,6404.36,7168,89.35,64,0.0,1171,True
2025-12-04,19,Zone A,7564.85,7168,105.54,64,0.0,1297,True
2025-12-04,20,Zone A,7621.97,7168,106.33,64,0.0,1345,True
2025-12-04,21,Zone A,5985.76,7168,83.51,64,0.0,1350,True
2025-12-04,22,Zone A,3770.68,7168,52.6,64,0.0,1970,True
2025-12-04,23,Zone A,3489.35,7168,48.68,64,0.0,1134,True
2025-12-05,0,Zone A,2462.88,7168,34.36,64,0.0,1173,True
2025-12-05,1,Zone A,2144.7,7168,29.92,64,0.0,1038,True
2025-12-05,2,Zone A,2505.46,7168,34.95,64,0.0,1547,False
2025-12-05,3,Zone A,1919.45,7168,26.78,64,0.0,1677,True
2025-12-05,4,Zone A,2255.33,7168,31.46,64,0.0,1706,True
2025-12-05,5,Zone A,2131.86,7168,29.74,64,0.0,1560,True
2025-12-05,6,Zone A,3856.17,7168,53.8,64,0.0,1645,True
2025-12-05,7,Zone A,3902.12,7168,54.44,64,249.43,1276,False
2025-12-05,8,Zone A,7065.02,7168,98.56,64,540.73,1107,False
2025-12-05,9,Zone A,7245.07,7168,101.08,64,409.99,1108,True
2025-12-05,10,Zone A,4934.99,7168,68.85,64,592.44,1535,True
2025-12-05,11,Zone A,5182.76,7168,72.3,64,591.4,1561,True
2025-12-05,12,Zone A,4466.47,7168,62.31,64,836.46,1240,True
2025-12-05,13,Zone A,3435.34,7168,47.93,64,557.63,1587,True
2025-12-05,14,Zone A,3552.51,7168,49.56,64,743.22,1740,True
2025-12-05,15,Zone A,4442.19,7168,61.97,64,579.63,2000,True
2025-12-05,16,Zone A,3635.73,7168,50.72,64,534.61,1895,True
2025-12-05,17,Zone A,5592.01,7168,78.01,64,252.02,1436,True
2025-12-05,18,Zone A,6584.98,7168,91.87,64,0.0,1872,True
2025-12-05,19,Zone A,7189.14,7168,100.29,64,0.0,1366,True
2025-12-05,20,Zone A,7770.7,7168,108.41,64,0.0,1750,True
2025-12-05,21,Zone A,5160.62,7168,72.0,64,0.0,1116,True
2025-12-05,22,Zone A,3911.47,7168,54.57,64,0.0,1855,True
2025-12-05,23,Zone A,4178.04,7168,58.29,64,0.0,1431,True
2025-12-06,0,Zone A,1923.55,7168,26.84,64,0.0,1060,True
2025-12-06,1,Zone A,1955.43,7168,27.28,64,0.0,1494,False
2025-12-06,2,Zone A,2315.05,7168,32.3,64,0.0,1388,True
2025-12-06,3,Zone A,2415.95,7168,33.7,64,0.0,1901,True
2025-12-06,4,Zone A,2214.26,7168,30.89,64,0.0,1908,True
2025-12-06,5,Zone A,2083.9,7168,29.07,64,0.0,1670,True
2025-12-06,6,Zone A,3714.18,7168,51.82,64,0.0,1761,False
2025-12-06,7,Zone A,4100.98,7168,57.21,64,302.57,1894,True
2025-12-06,8,Zone A,7311.6,7168,102.0,64,466.38,1443,True
2025-12-06,9,Zone A,7226.53,7168,100.82,64,671.03,1152,False
2025-12-06,10,Zone A,5771.27,7168,80.51,64,440.07,1956,True
2025-12-06,11,Zone A,5345.3,7168,74.57,64,818.22,1169,True
2025-12-06,12,Zone A,4165.99,7168,58.12,64,731.63,1284,True
2025-12-06,13,Zone A,4044.1,7168,56.42,64,738.98,1836,True
2025-12-06,14,Zone A,3621.26,7168,50.52,64,780.4,1090,True
2025-12-06,15,Zone A,3818.96,7168,53.28,64,599.74,1669,True
2025-12-06,16,Zone A,3630.73,7168,50.65,64,445.0,1000,True
2025-12-06,17,Zone A,5877.48,7168,82.0,64,244.91,1911,False
2025-12-06,18,Zone A,7365.84,7168,102.76,64,0.0,1349,True
2025-12-06,19,Zone A,7967.79,7168,111.16,64,0.0,1864,True
2025-12-06,20,Zone A,7025.35,7168,98.01,64,0.0,1614,True
2025-12-06,21,Zone A,5474.36,7168,76.37,64,0.0,1463,True
2025-12-06,22,Zone A,3716.32,7168,51.85,64,0.0,1002,True
2025-12-06,23,Zone A,3940.24,7168,54.97,64,0.0,1819,True
2025-12-07,0,Zone A,2245.89,7168,31.33,64,0.0,1108,True
2025-12-07,1,Zone A,2584.37,7168,36.05,64,0.0,1841,True
2025-12-07,2,Zone A,1901.95,7168,26.53,64,0.0,1192,True
2025-12-07,3,Zone A,2588.08,7168,36.11,64,0.0,1468,True
2025-12-07,4,Zone A,2330.41,7168,32.51,64,0.0,1424,True
2025-12-07,5,Zone A,2701.07,7168,37.68,64,0.0,1602,True
2025-12-07,6,Zone A,4239.48,7168,59.14,64,0.0,1979,False
2025-12-07,7,Zone A,3690.97,7168,51.49,64,225.5,1049,False
2025-12-07,8,Zone A,8188.02,7168,114.23,64,419.03,1520,True
2025-12-07,9,Zone A,7240.64,7168,101.01,64,757.08,1106,True
2025-12-07,10,Zone A,5555.8,7168,77.51,64,628.12,1902,True
2025-12-07,11,Zone A,5341.78,7168,74.52,64,951.21,1254,True
2025-12-07,12,Zone A,3864.72,7168,53.92,64,705.92,1824,True
2025-12-07,13,Zone A,3732.45,7168,52.07,64,1082.33,1524,True
2025-12-07,14,Zone A,4344.57,7168,60.61,64,623.31,1754,False
2025-12-07,15,Zone A,4012.26,7168,55.97,64,662.5,1297,True
2025-12-07,16,Zone A,4232.25,7168,59.04,64,498.64,1998,True
2025-12-07,17,Zone A,5464.43,7168,76.23,64,187.82,1118,True
2025-12-07,18,Zone A,7313.67,7168,102.03,64,0.0,1727,True
2025-12-07,19,Zone A,7747.1,7168,108.08,64,0.0,1546,True
2025-12-07,20,Zone A,7755.76,7168,108.2,64,0.0,1013,False
2025-12-07,21,Zone A,4945.83,7168,69.0,64,0.0,1054,True
2025-12-07,22,Zone A,3843.48,7168,53.62,64,0.0,1164,True
2025-12-07,23,Zone A,4033.49,7168,56.27,64,0.0,1063,True
2025-12-08,0,Zone A,1975.83,7168,27.56,64,0.0,1367,True
2025-12-08,1,Zone A,1946.18,7168,27.15,64,0.0,1757,False
2025-12-08,2,Zone A,2619.73,7168,36.55,64,0.0,1574,True
2025-12-08,3,Zone A,2054.52,7168,28.66,64,0.0,1817,True
2025-12-08,4,Zone A,2295.34,7168,32.02,64,0.0,1390,True
2025-12-08,5,Zone A,2219.67,7168,30.97,64,0.0,1701,True
2025-12-08,6,Zone A,4235.67,7168,59.09,64,0.0,1207,False
2025-12-08,7,Zone A,4503.59,7168,62.83,64,209.68,1230,True
2025-12-08,8,Zone A,7633.34,7168,106.49,64,461.19,1794,True
2025-12-08,9,Zone A,6556.34,7168,91.47,64,691.45,1191,True
2025-12-08,10,Zone A,5354.79,7168,74.7,64,457.65,1285,False
2025-12-08,11,Zone A,4971.82,7168,69.36,64,1054.99,1005,True
2025-12-08,12,Zone A,4161.99,7168,58.06,64,527.96,1950,True
2025-12-08,13,Zone A,4216.41,7168,58.82,64,905.8,1863,True
2025-12-08,14,Zone A,4038.3,7168,56.34,64,650.09,1802,True
2025-12-08,15,Zone A,4224.91,7168,58.94,64,611.24,1805,False
2025-12-08,16,Zone A,3729.48,7168,52.03,64,391.2,1357,True
2025-12-08,17,Zone A,5792.18,7168,80.81,64,189.39,1300,True
2025-12-08,18,Zone A,8040.46,7168,112.17,64,0.0,1574,True
2025-12-08,19,Zone A,6355.05,7168,88.66,64,0.0,1246,False
2025-12-08,20,Zone A,7687.75,7168,107.25,64,0.0,1040,True
2025-12-08,21,Zone A,5406.42,7168,75.42,64,0.0,1116,True
2025-12-08,22,Zone A,3885.4,7168,54.2,64,0.0,1025,False
2025-12-08,23,Zone A,4251.35,7168,59.31,64,0.0,1822,False
2025-12-09,0,Zone A,2083.8,7168,29.07,64,0.0,1919,True
2025-12-09,1,Zone A,1985.05,7168,27.69,64,0.0,1098,True
2025-12-09,2,Zone A,2725.58,7168,38.02,64,0.0,1546,True
2025-12-09,3,Zone A,2277.49,7168,31.77,64,0.0,1644,True
2025-12-09,4,Zone A,2538.44,7168,35.41,64,0.0,1106,True
2025-12-09,5,Zone A,2311.64,7168,32.25,64,0.0,1999,True
2025-12-09,6,Zone A,4330.88,7168,60.42,64,0.0,1157,True
2025-12-09,7,Zone A,3914.2,7168,54.61,64,145.27,1055,True
2025-12-09,8,Zone A,7712.29,7168,107.59,64,451.24,1233,True
2025-12-09,9,Zone A,6943.37,7168,96.87,64,553.74,1323,True
2025-12-09,10,Zone A,5057.45,7168,70.56,64,436.59,1737,False
2025-12-09,11,Zone A,5089.02,7168,71.0,64,513.74,1868,True
2025-12-09,12,Zone A,3891.66,7168,54.29,64,702.89,1702,True
2025-12-09,13,Zone A,4022.89,7168,56.12,64,1109.54,1390,True
2025-12-09,14,Zone A,4103.2,7168,57.24,64,527.78,1225,True
2025-12-09,15,Zone A,4363.67,7168,60.88,64,774.02,1302,True
2025-12-09,16,Zone A,3985.8,7168,55.61,64,587.88,1887,True
2025-12-09,17,Zone A,5483.33,7168,76.5,64,287.89,1144,True
2025-12-09,18,Zone A,6370.18,7168,88.87,64,0.0,1560,True
2025-12-09,19,Zone A,6962.34,7168,97.13,64,0.0,1925,True
2025-12-09,20,Zone A,6896.51,7168,96.21,64,0.0,1871,False
2025-12-09,21,Zone A,4878.39,7168,68.06,64,0.0,1631,True
2025-12-09,22,Zone A,3625.37,7168,50.58,64,0.0,1818,False
2025-12-09,23,Zone A,4484.31,7168,62.56,64,0.0,1954,False
2025-12-10,0,Zone A,2208.33,7168,30.81,64,0.0,1297,True
2025-12-10,1,Zone A,1948.61,7168,27.18,64,0.0,1594,True
2025-12-10,2,Zone A,2597.49,7168,36.24,64,0.0,1687,True
2025-12-10,3,Zone A,1897.33,7168,26.47,64,0.0,1921,True
2025-12-10,4,Zone A,2059.11,7168,28.73,64,0.0,1631,True
2025-12-10,5,Zone A,2321.13,7168,32.38,64,0.0,1580,True
2025-12-10,6,Zone A,4489.19,7168,62.63,64,0.0,1320,True
2025-12-10,7,Zone A,4363.3,7168,60.87,64,245.51,1283,True
2025-12-10,8,Zone A,6640.6,7168,92.64,64,557.26,1473,True
2025-12-10,9,Zone A,6756.14,7168,94.25,64,626.62,1179,False
2025-12-10,10,Zone A,4874.25,7168,68.0,64,934.02,1912,False
2025-12-10,11,Zone A,5204.55,7168,72.61,64,906.65,1744,True
2025-12-10,12,Zone A,4520.36,7168,63.06,64,942.14,1832,False
2025-12-10,13,Zone A,4198.09,7168,58.57,64,626.82,1037,False
2025-12-10,14,Zone A,3953.75,7168,55.16,64,760.17,1669,True
2025-12-10,15,Zone A,3789.95,7168,52.87,64,735.75,1750,True
2025-12-10,16,Zone A,3691.14,7168,51.49,64,281.69,1372,False
2025-12-10,17,Zone A,4791.39,7168,66.84,64,304.06,1628,True
2025-12-10,18,Zone A,7328.29,7168,102.24,64,0.0,1579,False
2025-12-10,19,Zone A,7774.44,7168,108.46,64,0.0,1753,True
2025-12-10,20,Zone A,7562.3,7168,105.5,64,0.0,1779,True
2025-12-10,21,Zone A,4996.72,7168,69.71,64,0.0,1239,True
2025-12-10,22,Zone A,4175.57,7168,58.25,64,0.0,1810,True
2025-12-10,23,Zone A,4081.41,7168,56.94,64,0.0,1902,True
2025-12-11,0,Zone A,1848.28,7168,25.79,64,0.0,1105,False
2025-12-11,1,Zone A,2297.99,7168,32.06,64,0.0,1759,True
2025-12-11,2,Zone A,2318.35,7168,32.34,64,0.0,1385,True
2025-12-11,3,Zone A,2144.12,7168,29.91,64,0.0,1855,True
2025-12-11,4,Zone A,2219.09,7168,30.96,64,0.0,1929,True
2025-12-11,5,Zone A,2213.57,7168,30.88,64,0.0,1888,True
2025-12-11,6,Zone A,3998.7,7168,55.79,64,0.0,1513,True
2025-12-11,7,Zone A,3856.91,7168,53.81,64,222.63,1287,True
2025-12-11,8,Zone A,6294.54,7168,87.81,64,460.71,1836,True
2025-12-11,9,Zone A,7366.63,7168,102.77,64,517.01,1116,True
2025-12-11,10,Zone A,5501.68,7168,76.75,64,791.16,1662,True
2025-12-11,11,Zone A,4705.19,7168,65.64,64,870.72,1164,True
2025-12-11,12,Zone A,3942.79,7168,55.01,64,900.59,1057,True
2025-12-11,13,Zone A,3680.13,7168,51.34,64,1130.87,1613,False
2025-12-11,14,Zone A,4297.19,7168,59.95,64,874.32,1841,True
2025-12-11,15,Zone A,4291.73,7168,59.87,64,653.77,1482,True
2025-12-11,16,Zone A,3846.49,7168,53.66,64,460.29,1813,False
2025-12-11,17,Zone A,5463.39,7168,76.22,64,248.92,1270,True
2025-12-11,18,Zone A,7424.04,7168,103.57,64,0.0,1604,True
2025-12-11,19,Zone A,6583.67,7168,91.85,64,0.0,1111,True
2025-12-11,20,Zone A,6848.64,7168,95.54,64,0.0,1516,True
2025-12-11,21,Zone A,5707.91,7168,79.63,64,0.0,1181,True
2025-12-11,22,Zone A,4419.84,7168,61.66,64,0.0,1898,False
2025-12-11,23,Zone A,3866.79,7168,53.95,64,0.0,1493,True
2025-12-12,0,Zone A,2601.07,7168,36.29,64,0.0,1001,True
2025-12-12,1,Zone A,2222.49,7168,31.01,64,0.0,1044,False
2025-12-12,2,Zone A,2263.65,7168,31.58,64,0.0,1493,True
2025-12-12,3,Zone A,2162.47,7168,30.17,64,0.0,1929,False
2025-12-12,4,Zone A,1804.27,7168,25.17,64,0.0,1488,True
2025-12-12,5,Zone A,2489.99,7168,34.74,64,0.0,1612,False
2025-12-12,6,Zone A,3813.64,7168,53.2,64,0.0,1808,True
2025-12-12,7,Zone A,3931.02,7168,54.84,64,130.71,1670,True
2025-12-12,8,Zone A,7340.01,7168,102.4,64,376.79,1158,True
2025-12-12,9,Zone A,7230.42,7168,100.87,64,776.75,1433,False
2025-12-12,10,Zone A,5119.31,7168,71.42,64,845.61,1773,True
2025-12-12,11,Zone A,5429.15,7168,75.74,64,809.18,1379,False
2025-12-12,12,Zone A,3966.5,7168,55.34,64,714.66,1352,True
2025-12-12,13,Zone A,4378.2,7168,61.08,64,928.74,1765,True
2025-12-12,14,Zone A,4049.04,7168,56.49,64,531.1,1219,False
2025-12-12,15,Zone A,3865.35,7168,53.93,64,626.07,1713,True
2025-12-12,16,Zone A,3887.28,7168,54.23,64,251.85,1093,True
2025-12-12,17,Zone A,5384.95,7168,75.12,64,145.38,1269,True
2025-12-12,18,Zone A,6987.12,7168,97.48,64,0.0,1953,True
2025-12-12,19,Zone A,7361.33,7168,102.7,64,0.0,1728,False
2025-12-12,20,Zone A,6526.01,7168,91.04,64,0.0,1179,True
2025-12-12,21,Zone A,5144.15,7168,71.77,64,0.0,1672,False
2025-12-12,22,Zone A,3648.08,7168,50.89,64,0.0,1613,False
2025-12-12,23,Zone A,3923.54,7168,54.74,64,0.0,1173,True
2025-12-13,0,Zone A,2139.43,7168,29.85,64,0.0,1999,True
2025-12-13,1,Zone A,1821.39,7168,25.41,64,0.0,1409,True
2025-12-13,2,Zone A,2360.94,7168,32.94,64,0.0,1205,False
2025-12-13,3,Zone A,1835.96,7168,25.61,64,0.0,1941,True
2025-12-13,4,Zone A,2327.75,7168,32.47,64,0.0,1572,False
2025-12-13,5,Zone A,2193.5,7168,30.6,64,0.0,1283,True
2025-12-13,6,Zone A,3986.93,7168,55.62,64,0.0,1588,True
2025-12-13,7,Zone A,3768.99,7168,52.58,64,148.7,1074,False
2025-12-13,8,Zone A,7077.87,7168,98.74,64,531.03,1979,True
2025-12-13,9,Zone A,8058.68,7168,112.43,64,638.11,1710,True
2025-12-13,10,Zone A,5809.36,7168,81.05,64,899.78,1775,True
2025-12-13,11,Zone A,5744.86,7168,80.15,64,794.48,1600,True
2025-12-13,12,Zone A,3904.59,7168,54.47,64,767.87,1807,True
2025-12-13,13,Zone A,4062.78,7168,56.68,64,696.44,1978,True
2025-12-13,14,Zone A,3834.64,7168,53.5,64,937.49,1254,True
2025-12-13,15,Zone A,3717.71,7168,51.87,64,759.96,1077,False
2025-12-13,16,Zone A,4392.43,7168,61.28,64,373.74,1915,False
2025-12-13,17,Zone A,5380.92,7168,75.07,64,253.17,1931,True
2025-12-13,18,Zone A,6926.16,7168,96.63,64,0.0,1893,True
2025-12-13,19,Zone A,6422.09,7168,89.59,64,0.0,1255,False
2025-12-13,20,Zone A,7077.38,7168,98.74,64,0.0,1122,True
2025-12-13,21,Zone A,5603.87,7168,78.18,64,0.0,1628,True
2025-12-13,22,Zone A,4271.16,7168,59.59,64,0.0,1043,True
2025-12-13,23,Zone A,3830.57,7168,53.44,64,0.0,1919,False
2025-12-14,0,Zone A,2558.88,7168,35.7,64,0.0,1782,False
2025-12-14,1,Zone A,1979.25,7168,27.61,64,0.0,1590,True
2025-12-14,2,Zone A,1888.83,7168,26.35,64,0.0,1489,False
2025-12-14,3,Zone A,1786.96,7168,24.93,64,0.0,1881,True
2025-12-14,4,Zone A,2110.5,7168,29.44,64,0.0,1530,True
2025-12-14,5,Zone A,1965.78,7168,27.42,64,0.0,1690,True
2025-12-14,6,Zone A,3753.85,7168,52.37,64,0.0,1882,True
2025-12-14,7,Zone A,3649.64,7168,50.92,64,178.22,1981,False
2025-12-14,8,Zone A,6645.33,7168,92.71,64,398.38,1429,True
2025-12-14,9,Zone A,6832.88,7168,95.32,64,576.65,1585,True
2025-12-14,10,Zone A,5892.3,7168,82.2,64,926.59,1738,True
2025-12-14,11,Zone A,5659.44,7168,78.95,64,1061.95,1200,True
2025-12-14,12,Zone A,4387.7,7168,61.21,64,831.09,1009,True
2025-12-14,13,Zone A,3803.24,7168,53.06,64,1086.95,1645,False
2025-12-14,14,Zone A,3973.35,7168,55.43,64,728.01,1256,False
2025-12-14,15,Zone A,4141.48,7168,57.78,64,402.54,1167,True
2025-12-14,16,Zone A,3671.09,7168,51.22,64,543.64,1098,True
2025-12-14,17,Zone A,5441.24,7168,75.91,64,194.69,1570,True
2025-12-14,18,Zone A,6803.53,7168,94.92,64,0.0,1695,False
2025-12-14,19,Zone A,6654.99,7168,92.84,64,0.0,1664,False
2025-12-14,20,Zone A,6745.17,7168,94.1,64,0.0,1363,True
2025-12-14,21,Zone A,5504.53,7168,76.79,64,0.0,1754,True
2025-12-14,22,Zone A,4313.55,7168,60.18,64,0.0,1293,True
2025-12-14,23,Zone A,3988.33,7168,55.64,64,0.0,1171,True
2025-12-15,0,Zone A,2186.48,7168,30.5,64,0.0,1414,True
2025-12-15,1,Zone A,1827.2,7168,25.49,64,0.0,1321,True
2025-12-15,2,Zone A,2418.45,7168,33.74,64,0.0,1619,True
2025-12-15,3,Zone A,2016.6,7168,28.13,64,0.0,1883,True
2025-12-15,4,Zone A,2458.46,7168,34.3,64,0.0,1461,True
2025-12-15,5,Zone A,2003.52,7168,27.95,64,0.0,1128,True
2025-12-15,6,Zone A,4345.57,7168,60.62,64,0.0,1081,True
2025-12-15,7,Zone A,3572.53,7168,49.84,64,140.97,1899,True
2025-12-15,8,Zone A,6886.5,7168,96.07,64,388.95,1783,True
2025-12-15,9,Zone A,6511.18,7168,90.84,64,395.29,1953,True
2025-12-15,10,Zone A,5055.59,7168,70.53,64,605.28,1641,True
2025-12-15,11,Zone A,5197.8,7168,72.51,64,502.28,1679,True
2025-12-15,12,Zone A,4263.49,7168,59.48,64,833.31,1998,False
2025-12-15,13,Zone A,4427.23,7168,61.76,64,574.32,1971,False
